"Player","Team","TotalFO","FOW","FOL","FO%"
Claude Giroux,OTT,521,316,205,60.7
Aleksander Barkov,FLA,517,312,205,60.3
Vincent Trocheck,NYR,823,494,329,60.0
Kevin Stenlund,UTA,490,293,197,59.8
Bo Horvat,NYI,598,355,243,59.4
William Karlsson,VEG,434,255,179,58.8
Jean-Gabriel Pageau,NYI,447,262,185,58.6
Tomas Hertl,VEG,503,293,210,58.3
J.T. Miller,VAN,556,322,234,57.9
Dylan Larkin,DET,817,468,349,57.3
John Tavares,TOR,744,423,321,56.9
Auston Matthews,TOR,542,307,235,56.6
Leon Draisaitl,EDM,757,428,329,56.5
Sebastian Aho,CAR,651,368,283,56.5
Sean Couturier,PHI,662,373,289,56.3
Robert Thomas,STL,634,357,277,56.3
Colton Sissons,NSH,402,226,176,56.2
Christian Dvorak,MTL,502,280,222,55.8
Anže Kopitar,LAK,819,456,363,55.7
Sidney Crosby,PIT,1046,581,465,55.5
Erik Haula,NJD,462,256,206,55.4
Nico Hischier,NJD,1086,599,487,55.2
Ryan O'Reilly,NSH,651,358,293,55.0
Luke Glendening,TBL,473,260,213,55.0
Lars Eller,WSH,403,221,182,54.8
