Rk,Team,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan
1,Vegas Golden Knights,29-11-3,1-1,2-2,18-6-0,11-5-3,6-8-1,23-3-2,4-3-1,2-5-0,9-1-1,14-2-1,10-3-3,11-7-0,7-3-1,8-4-2,10-2-0,4-2-0
2,Winnipeg Jets,29-12-3,0-0,4-3,16-4-3,13-8-0,12-5-0,17-7-3,8-4-0,4-1-0,12-4-0,5-3-3,7-2-3,18-7-0,9-1-0,9-5-0,9-5-1,2-1-2
3,Washington Capitals,28-10-5,0-2,4-3,14-4-4,14-6-1,18-7-3,10-3-2,8-3-3,10-4-0,6-3-1,4-0-1,8-3-5,12-2-0,7-2-0,10-4-1,8-4-1,3-0-3
4,Minnesota Wild,27-13-4,2-2,4-2,11-9-1,16-4-3,12-3-0,15-10-4,6-2-0,6-1-0,9-5-2,6-5-2,10-3-4,8-8-0,6-1-2,10-3-2,7-7-0,4-2-0
5,Edmonton Oilers,27-13-3,0-0,7-3,15-7-1,12-6-2,11-5-2,16-8-1,6-2-1,5-3-1,9-4-0,7-4-1,11-2-3,11-7-0,5-5-1,8-4-1,9-3-1,5-1-0
6,Toronto Maple Leafs,27-15-2,0-0,4-2,17-8-0,10-7-2,17-11-1,10-4-1,9-4-1,8-7-0,5-3-1,5-1-0,9-1-2,9-11-0,6-4-1,8-3-1,9-6-0,4-2-0
7,New Jersey Devils,26-15-4,0-0,2-4,13-6-3,13-9-1,16-8-4,10-7-0,8-4-1,8-4-3,4-2-0,6-5-0,6-4-4,13-7-0,7-4-2,9-5-0,8-4-1,2-2-1
8,Dallas Stars,27-14-1,2-0,3-1,16-5-1,11-9-0,11-8-0,16-6-1,6-5-0,5-3-0,11-3-1,5-3-0,9-4-1,9-3-0,7-2-0,7-6-0,8-5-1,5-1-0
9,Carolina Hurricanes,26-15-3,0-2,3-1,17-5-1,9-10-2,16-9-2,10-6-1,4-5-0,12-4-2,3-5-0,7-1-1,5-3-3,12-7-0,7-2-0,9-5-1,6-6-1,4-2-1
10,Colorado Avalanche,26-17-1,1-1,3-0,12-8-1,14-9-0,11-7-1,15-10-0,6-3-1,5-4-0,6-7-0,9-3-0,10-1-1,11-10-0,5-6-0,8-6-0,10-3-0,3-2-1
11,Florida Panthers,25-16-3,3-0,2-3,12-8-2,13-8-1,14-9-2,11-7-1,5-4-1,9-5-1,7-5-0,4-2-1,8-1-3,9-11-0,7-3-1,8-6-0,8-4-1,2-3-1
12,Los Angeles Kings,24-12-5,0-1,2-4,14-2-1,10-10-4,11-4-3,13-8-2,5-2-2,6-2-1,7-1-2,6-7-0,9-3-5,13-3-0,6-3-2,8-5-1,7-2-2,3-2-0
13,Tampa Bay Lightning,23-15-3,0-1,3-2,13-6-1,10-9-2,11-6-3,12-9-0,2-5-0,9-1-3,6-5-0,6-4-0,5-6-3,15-4-0,7-3-0,5-6-2,8-3-0,3-3-1
14,Calgary Flames,21-14-7,3-1,3-6,14-6-3,7-8-4,8-5-5,13-9-2,2-2-5,6-3-0,6-5-1,7-4-1,9-1-7,6-8-0,5-4-1,7-5-3,6-3-3,3-2-0
15,Vancouver Canucks,19-13-10,1-1,3-9,7-8-6,12-5-4,10-8-5,9-5-5,7-3-2,3-5-3,3-2-3,6-3-2,8-2-10,7-6-0,4-2-3,8-5-0,5-4-5,2-2-2
16,Boston Bruins,21-19-5,0-0,7-5,12-7-3,9-12-2,12-12-2,9-7-3,7-5-1,5-7-1,4-4-2,5-3-1,10-3-5,6-11-0,4-6-1,7-5-2,9-4-1,1-4-1
17,Columbus Blue Jackets,20-17-6,3-0,1-6,14-5-3,6-12-3,12-8-3,8-9-3,6-5-1,6-3-2,5-3-1,3-6-2,6-3-6,9-10-0,5-3-1,5-6-2,6-7-3,4-1-0
18,Ottawa Senators,21-18-3,0-1,5-2,11-7-1,10-11-2,8-8-2,13-10-1,5-3-1,3-5-1,5-4-0,8-6-1,10-4-3,8-7-0,5-4-0,5-8-1,9-3-1,2-3-1
19,Detroit Red Wings,20-18-4,1-0,3-4,12-10-2,8-8-2,13-13-1,7-5-3,4-7-1,9-6-0,5-3-0,2-2-3,8-5-4,4-10-0,4-5-1,6-6-1,5-7-2,5-0-0
20,Montreal Canadiens,20-18-4,2-2,4-2,11-7-3,9-11-1,13-12-1,7-6-3,8-3-0,5-9-1,3-3-2,4-3-1,10-2-4,9-10-0,4-6-1,4-6-2,9-5-0,3-1-1
21,St. Louis Blues,20-20-4,1-0,5-4,9-10-1,11-10-3,11-12-3,9-8-1,6-5-2,5-7-1,3-5-1,6-3-0,10-6-4,9-6-0,5-6-0,6-6-2,7-5-2,2-3-0
22,Pittsburgh Penguins,18-19-8,1-4,5-4,12-9-3,6-10-5,11-11-7,7-8-1,8-4-4,3-7-3,1-6-0,6-2-1,9-1-8,6-14-0,4-7-1,6-5-3,7-5-1,1-2-3
23,Philadelphia Flyers,19-20-5,3-2,5-3,10-11-1,9-9-4,9-10-3,10-10-2,6-5-3,3-5-0,5-4-0,5-6-2,10-4-5,4-11-0,4-6-1,8-4-2,5-7-1,2-3-1
24,Utah Hockey Club,18-17-7,0-2,5-5,6-9-4,12-8-3,8-7-0,10-10-7,3-4-0,5-3-0,4-6-2,6-4-5,8-6-7,7-10-0,5-4-2,5-6-2,6-5-2,2-2-1
25,New York Rangers,20-20-2,0-0,1-2,9-9-2,11-11-0,13-11-0,7-9-2,9-4-0,4-7-0,2-5-2,5-4-0,9-4-2,8-9-0,6-2-1,7-7-0,3-10-0,4-1-1
26,Anaheim Ducks,18-20-5,2-1,4-4,9-11-2,9-9-3,8-6-3,10-14-2,3-2-2,5-4-1,6-5-1,4-9-1,9-6-5,2-9-0,4-4-2,5-6-1,6-7-1,3-3-1
27,New York Islanders,17-18-7,2-1,2-6,7-9-2,10-9-5,11-12-3,6-6-4,7-8-1,4-4-2,4-2-2,2-4-2,8-5-7,6-7-0,3-5-2,6-5-4,5-7-1,3-1-0
28,Seattle Kraken,18-23-3,1-2,3-1,9-10-3,9-13-0,9-11-1,9-12-2,3-6-1,6-5-0,5-6-1,4-6-1,6-5-3,8-12-0,5-5-1,6-8-0,6-6-1,1-4-1
29,Buffalo Sabres,16-22-5,2-1,2-4,8-11-3,8-11-2,7-15-2,9-7-3,4-7-1,3-8-1,5-4-2,4-3-1,5-5-5,6-8-0,4-5-1,7-6-1,3-9-2,2-2-1
30,Nashville Predators,13-22-7,0-0,2-7,8-8-3,5-14-4,4-9-4,9-13-3,1-6-2,3-3-2,5-6-2,4-7-1,3-4-7,8-14-0,3-6-1,4-6-5,4-8-1,2-2-0
31,San Jose Sharks,13-26-6,0-4,4-2,8-14-1,5-12-5,6-7-2,7-19-4,2-4-0,4-3-2,3-10-3,4-9-1,9-9-6,2-8-0,3-7-2,6-6-3,2-10-1,2-3-0
32,Chicago Blackhawks,14-28-2,1-0,1-2,9-13-0,5-15-2,5-10-1,9-18-1,2-6-0,3-4-1,4-9-1,5-9-0,4-7-2,3-12-0,3-7-1,5-6-1,4-11-0,2-4-0
